Food Item,Quantity,Unit,Fat,Protein,Carb,Fiber,Net Carb,Calories,Food Item,B1(Thiamine) mg,B2 (Riboflavin) mg,B3 (Niacin) mg,B5 (Pantothenic Acid) mg,B6 (Pyridoxine) mg,B12 (Cobalamin) mg,B7 (Biotin) mg,B8 (Choline) mg,B9 (Folate) mg,Vitamin A IU,Vitamin C mg,Vitamin D IU,Vitamin E mg,Vitamin K mg,Food Item,Calcium mg,Copper mg,Iron mg,Magnesium mg,Manganese mg,Phosphosus mg,Potassium mg,Selenium mg,Sodium mg,Zinc mg
Lichu (Lychee),100,gram,0.4,0.8,17,1.3,15.7,66,"Lychees, Fresh",0.01,0.07,0.6,0.2,0.1,0,0,7.1,14,0,71.5,0,0.07,0.4,"Lychees, Fresh",5,0.15,0.31,10,0.06,31,171,0.6,1,0.07
Kathal (Jackfruit),100,gram,0.6,1.7,23,1.5,21.5,95,"Jackfruit, Fresh",0.11,0.06,0.92,0.24,0.33,0,0,7.4,24,110,13.7,0,0.34,0.5,"Jackfruit, Fresh",24,0.08,0.23,29,0.04,21,448,0.6,2,0.13
Peyara (Guava),100,gram,1,2.6,14,5,9,68,"Guayaba, Fresh",0.07,0.04,1.08,0.45,0.11,0,0,7.6,49,624,228,0,0.73,2.6,"Guayaba, Fresh",18,0.23,0.26,22,0.15,40,417,0.6,2,0.23
Angur (Grapes),100,gram,0.4,0.6,17,0.9,16.1,67,"Grapes, Fresh",0.07,0.07,0.19,0.05,0.09,0,0,5.6,2,66,3.2,0,0.38,14.6,"Grapes, Fresh",10,0.13,0.36,7,0.07,20,191,0.1,2,0.07
Ata (Sugar apple),100,gram,0.7,1.6,18,3,15,75,Sugar Apple (94 cal),0.11,0.11,0.88,0.23,0.2,0,0,7.4,14,6,36.3,0,0.57,3.5,Sugar Apple (94 cal),24,0.09,0.6,21,0.16,32,247,0.6,9,0.1
Jambura (Pomelo),100,gram,0,0.8,10,1,9,38,Jambura (Pomelo),0.03,0.03,0.22,0,0.04,0,0,0,0,8,61,0,0,0,Jambura (Pomelo),4,0.05,0.11,6,0.02,17,216,0,1,0.08
Jamrul (Rose Apple),100,gram,0.3,0.6,5.7,0,5.7,25,"Rose Apple, Fresh",0.02,0.03,0.8,0.34,0.04,0,0,7.4,17.6,339,22.3,0,0.2,3.5,"Rose Apple, Fresh",29,0.02,0.07,5,0.03,8,123,0.55,0,0.06
Mosambi Lebu (Sweet Lemon),100,gram,0.1,0.8,11,1.6,9.4,42,Mosambi Lebu (Sweet Lemon),0.04,0.03,0.2,0,0.08,0,0,0,11,2,48.5,0,0.22,0,Mosambi Lebu (Sweet Lemon),35,0.17,0.5,8,0,23,490,0,2,0.1
Lebu (Lemon),100,gram,0.3,1.1,9,2.8,6.2,29,Lebu (Lemon),0.04,0.02,0.1,0.19,0.08,0,0,5.1,11,22,53,0,0.15,0,Lebu (Lemon),26,0.04,0.6,8,0.03,16,138,0.4,2,0.06
Malta,100,gram,0.3,0.8,13,1.8,11.2,53,Malta,,,,,,,,,,,,,,,Malta,,,,,,,,,,
Kamala (Orange),100,gram,0.1,0.9,12,2.4,9.6,47,"Orange, Fresh",0.09,0.04,0.28,0.25,0.06,0,0,8.4,30,225,53.2,0,0.25,0,"Orange, Fresh",40,0.05,0.1,10,0.03,14,181,0.5,0,0.07
Panifal (Water Chestnut),100,gram,0.1,1.4,24,3,21,97,"Water Chestnuts, Raw",0.14,0.2,1,0.48,0.33,0,0,36.2,16,0,4,0,1.2,0.3,"Water Chestnuts, Raw",11,0.33,0.06,22,0.33,63,584,0.7,14,0.5
Bangi (Cantaloupe),100,gram,0.2,0.8,8,0.9,7.1,34,"Cantaloupe, Fresh",0.04,0.02,0.73,0.11,0.07,0,0,7.6,21,3382,36.7,0,0.06,2.5,"Cantaloupe, Fresh",9,0.04,0.21,12,0.04,15,267,0.4,16,0.18
Kamranga (Carambola),100,gram,0.3,1,7,2.8,4.2,31,"Carambola, Fresh",0.01,0.02,0.37,0.39,0.02,0,0,7.6,12,61,34.4,0,0.15,0,"Carambola, Fresh",3,0.14,0.08,10,0.04,12,133,0.6,2,0.12
Jalpai (Olive),100,gram,11,0.8,6,3.2,2.8,115,Black Olives,0.01,0,0.04,0.02,0.01,0,0,10.3,0,330,0.9,0,1.65,1.4,Black Olives,88,0.25,6.28,4,0.02,3,8,0.9,375,0.22
Boroi (Jujube),100,gram,0.2,1.2,20,1.2,18.8,79,"Jujube, raw",0.02,0.04,0.9,0,0.08,0,0,0,0,40,69,0,0,0,"Jujube, raw",21,0.07,0.48,10,0.08,23,250,0,3,0.05
Batabi Lebu (Pomelo/Chakotra),100,gram,0,0.8,10,1,9,38,Batabi Lebu (Pomelo/Chakotra),0.03,0.03,0.22,0,0.04,0,0,0,0,8,61,0,0,0,Batabi Lebu (Pomelo/Chakotra),4,0.05,0.11,6,0.02,17,216,0,1,0.08
Kath Badam (Almond),100,gram,50.6,21.3,19.7,11.8,7.9,619,"Almonds, Raw",0.21,1.14,3.62,0.47,0.14,0,0,52.1,44,2,0,0,25.63,0,"Almonds, Raw",269,1.03,3.71,270,2.18,481,733,4.1,1,3.12
Cheena Badam (Peanut),100,gram,49.2,29.8,16.1,8.5,7.6,626,"Peanuts, Raw",0.64,0.14,12.07,1.77,0.35,0,0,52.5,240,0,0,0,8.33,0,"Peanuts, Raw",92,1.44,4.58,168,1.93,376,705,7.2,18,3.27
Pesta Badam (Pistachios),100,gram,45,20,28,10,18,562,"Pistachio Nuts, Raw",0.87,0.16,1.3,0.52,1.7,0,0,71.4,51,516,5.6,0,2.86,70,"Pistachio Nuts, Raw",105,1.3,3.92,121,1.2,490,1025,7,1,2.2
Kaju Badam (Cashew Nut),100,gram,44,18,30,3.3,26.7,553,"Cashews, Raw",0.42,0.06,1.06,0.86,0.42,0,0,61,25,0,0.5,0,0.9,34.1,"Cashews, Raw",37,2.2,6.68,292,1.66,593,660,19.9,12,5.78
Akhrot (Walnut),100,gram,65,15,14,7,7,654,Akhrot (Walnut),0.34,0.15,1.13,0.57,0.54,0,0,39.2,98,20,1.3,0,0.7,2.7,Akhrot (Walnut),98,1.59,2.91,158,3.41,346,441,4.9,2,3.09
Kumra Beej (Pumpkin Seed),100,gram,45.9,24.5,17.8,3.9,13.9,582,Kumra Beej (Pumpkin Seed),0.07,0.15,4.43,0.57,0.1,0,0,63,57,8,1.8,0,0.56,4.5,Kumra Beej (Pumpkin Seed),52,1.28,8.07,550,4.49,1174,788,9.4,18,7.64
Surajmukhi Beej (Sunflower Seed),100,gram,49.8,19.3,24.1,11.1,13,621,"Sunflower Seeds, Raw",1.48,0.36,8.34,1.13,1.35,0,0,55.1,227,50,1.4,0,35.17,0,"Sunflower Seeds, Raw",78,1.8,5.25,325,1.95,660,645,53,9,5
Teesi Beej (Flax Seed),100,gram,33.3,22.2,33,25.9,7.4,521,"Flax Seeds, Not Fortified",1.64,0.16,3.08,0.99,0.47,0,0,78.7,87,0,0.6,0,0.31,4.3,"Flax Seeds, Not Fortified",255,1.22,5.73,392,2.48,642,813,25.4,30,4.34
Chia Seed,100,gram,30.8,15.6,43.9,37.7,6.2,515,Chia Seeds,0.18,0.04,6.13,0.6,1.39,0,0,65.5,49,44,1.6,0,0.5,708.9,Chia Seeds,631,0.92,16.4,390,2.72,860,407,55.2,16,4.58
Til Beej (Sesame Seed),100,gram,49.7,17.7,23.5,11.8,11.7,612,Sesame Seed Butter,1.22,0.47,5.45,0.69,0.15,0,0,25.8,98,67,0,0,0.25,0,Sesame Seed Butter,426,1.61,8.95,95,1.46,732,414,34.4,115,4.62
Kathal Beej (Jackfruit Seed),100,gram,1,7,38,25,13,184,Kathal Beej (Jackfruit Seed),0.21,0.11,3.1,0,0,0,0,0,0,0,8.6,0,0,0,Kathal Beej (Jackfruit Seed),40,0.19,1.5,54,0,97,246,0,63,0
Full-Fat Milk,250,ml,7.93,7.86,11,0,11,146,Full-Fat Milk,0,0,0,0,0,0,0,0,0,217.75,0,136.5,0,0,Full-Fat Milk,250.5,0,0,0,0,0,0,0,129.5,0
Low-Fat Milk,250,ml,2.5,8.22,12,0,12,102,"Low-Fat Milk, .5%",0,0.38,0,0,0,1.75,0,0,0,0,0,40,0,,"Low-Fat Milk, .5%",325,0,0,0,0,0,0,0,100,0
Heavy Whipping Cream,100,gram,37.2,2.1,2.8,0,2.8,354,Heavy Whipping Cream,0.02,0.19,0.06,0.5,0.04,0.16,0,16.8,4,1470,0.6,63,0.92,3.2,Heavy Whipping Cream,66,0.01,0.1,7,0.01,58,95,3,27,0.24
Sour Cream,100,gram,21,3.2,4.3,0,4.3,219,Sour Cream,0.02,0.17,0.09,0.47,0.04,0.21,0,19.2,6,447,0.9,0,0.38,1.5,Sour Cream,101,0.02,0.07,10,0.02,76,125,3.7,31,0.33
Tok Doi (Yogurt),100,gram,4.2,11,4,0,4,100,"Greek Yogurt, Plain, Nonfat (59 cal)",0.02,0.28,0.21,0.33,0.06,0.75,0,15.1,7,4,0,0,0.01,0,"Greek Yogurt, Plain, Nonfat (59 cal)",110,0.02,0.07,11,0.01,135,141,9.7,36,0.52
Paneer (Cheese),100,gram,21,19,3,0,3,277,Feta Cheese,0.15,0.84,0.99,0.97,0.42,1.69,0,15.4,32,422,0,16,0.18,1.8,Feta Cheese,493,0.03,0.65,19,0.03,337,62,15,1139,2.88
Dhakai Daneer (Dhakai Cheese),100,gram,33,25,1.3,0,1.3,400,Cheddar Cheese,0.03,0.43,0.06,0.41,0.07,1.1,0,16.5,27,1242,0,24,0.71,2.4,Cheddar Cheese,710,0.03,0.14,27,0.03,455,76,28.5,653,3.64
Cream Cheese,100,gram,28.6,7.1,3.5,0,3.5,300,"Cheese, Cream",0.02,0.2,0.08,0.44,0.05,0.19,0,23.31,7.71,952.13,0,0,0.74,1.8,"Cheese, Cream",83.13,0.02,0.09,7.71,0.01,91.7,113.12,7.37,269.1,0.43
Cheddar Cheese,100,gram,33,25,1.3,0,1.3,400,Cheddar Cheese,0.03,0.43,0.06,0.41,0.07,1.1,0,16.5,27,1242,0,24,0.71,2.4,Cheddar Cheese,710,0.03,0.14,27,0.03,455,76,28.5,653,3.64
Mozzarella Cheese,100,gram,22.4,22.2,2.2,0,2.2,300,Mozzarella Cheese,0.02,0.35,0.11,0.43,0.1,1.68,0,14.2,27,829,0,15,0.5,1.3,Mozzarella Cheese,697,0.03,0.22,27,0.04,548,188,27.6,666,3.62
Gura Dudh (Powder Milk),100,gram,27,26,38,0,38,496,"Milk, Dry Powder, Whole",0.28,1.21,0.65,2.27,0.3,3.25,0,119.3,37,934,8.6,420,0.58,2.2,"Milk, Dry Powder, Whole",912,0.08,0.47,85,0.04,776,1330,16.3,371,3.34
Murgir Dim (Chicken Egg) With Yolk,1,Unit,5,6,0.3,0,0.3,74,Raw Egg,0.03,0.26,0.03,0.7,0.06,0.56,0,146.9,22,260,0,43.5,0.52,0.15,Raw Egg,25,0.01,0.6,5,0.01,86,63,15.4,62,0.53
